component,scenario,scenario_group,year,value,unit,source
Renewable propane,Renewable propane baseline,Selected energy/feedstock,2047,1200,€/t,Author assumption for purchased renewable propane; constant baseline used in Revision 2
Renewable propane,Renewable propane baseline,Selected energy/feedstock,2048,1200,€/t,Author assumption for purchased renewable propane; constant baseline used in Revision 2
Renewable propane,Renewable propane baseline,Selected energy/feedstock,2049,1200,€/t,Author assumption for purchased renewable propane; constant baseline used in Revision 2
Renewable propane,Renewable propane baseline,Selected energy/feedstock,2050,1200,€/t,Author assumption for purchased renewable propane; constant baseline used in Revision 2
PCW,ExpertGuess-PCW,Selected energy/feedstock,2025,125,€/t,IREES
PCW,ExpertGuess-PCW,Selected energy/feedstock,2026,125,€/t,IREES
PCW,ExpertGuess-PCW,Selected energy/feedstock,2027,125,€/t,IREES
PCW,ExpertGuess-PCW,Selected energy/feedstock,2028,125,€/t,IREES
PCW,ExpertGuess-PCW,Selected energy/feedstock,2029,125,€/t,IREES
PCW,ExpertGuess-PCW,Selected energy/feedstock,2030,125,€/t,IREES
PCW,ExpertGuess-PCW,Selected energy/feedstock,2031,125,€/t,IREES
PCW,ExpertGuess-PCW,Selected energy/feedstock,2032,125,€/t,IREES
PCW,ExpertGuess-PCW,Selected energy/feedstock,2033,125,€/t,IREES
PCW,ExpertGuess-PCW,Selected energy/feedstock,2034,125,€/t,IREES
PCW,ExpertGuess-PCW,Selected energy/feedstock,2035,125,€/t,IREES
PCW,ExpertGuess-PCW,Selected energy/feedstock,2036,125,€/t,IREES
PCW,ExpertGuess-PCW,Selected energy/feedstock,2037,125,€/t,IREES
PCW,ExpertGuess-PCW,Selected energy/feedstock,2038,125,€/t,IREES
PCW,ExpertGuess-PCW,Selected energy/feedstock,2039,125,€/t,IREES
PCW,ExpertGuess-PCW,Selected energy/feedstock,2040,125,€/t,IREES
PCW,ExpertGuess-PCW,Selected energy/feedstock,2041,125,€/t,IREES
PCW,ExpertGuess-PCW,Selected energy/feedstock,2042,125,€/t,IREES
PCW,ExpertGuess-PCW,Selected energy/feedstock,2043,125,€/t,IREES
PCW,ExpertGuess-PCW,Selected energy/feedstock,2044,125,€/t,IREES
PCW,ExpertGuess-PCW,Selected energy/feedstock,2045,125,€/t,IREES
PCW,ExpertGuess-PCW,Selected energy/feedstock,2046,125,€/t,IREES
PCW,ExpertGuess-PCW,Selected energy/feedstock,2047,125,€/t,IREES
PCW,ExpertGuess-PCW,Selected energy/feedstock,2048,125,€/t,IREES
PCW,ExpertGuess-PCW,Selected energy/feedstock,2049,125,€/t,IREES
PCW,ExpertGuess-PCW,Selected energy/feedstock,2050,125,€/t,IREES
Biomass,ExpertGuess-Biomass,Selected energy/feedstock,2025,71.2,€/t,"Haro et al. (2013), dry biomass basis"
Biomass,ExpertGuess-Biomass,Selected energy/feedstock,2026,71.2,€/t,"Haro et al. (2013), dry biomass basis"
Biomass,ExpertGuess-Biomass,Selected energy/feedstock,2027,71.2,€/t,"Haro et al. (2013), dry biomass basis"
Biomass,ExpertGuess-Biomass,Selected energy/feedstock,2028,71.2,€/t,"Haro et al. (2013), dry biomass basis"
Biomass,ExpertGuess-Biomass,Selected energy/feedstock,2029,71.2,€/t,"Haro et al. (2013), dry biomass basis"
Biomass,ExpertGuess-Biomass,Selected energy/feedstock,2030,71.2,€/t,"Haro et al. (2013), dry biomass basis"
Biomass,ExpertGuess-Biomass,Selected energy/feedstock,2031,71.2,€/t,"Haro et al. (2013), dry biomass basis"
Biomass,ExpertGuess-Biomass,Selected energy/feedstock,2032,71.2,€/t,"Haro et al. (2013), dry biomass basis"
